子供{{c1::あっての}}我が家、子供がいなかったら、即離婚だな。	あっての<br>あればの<br>あったの<br>あるべき
最後まであきらめずに{{c1::しぶとく}}がんばる。	しぶとく<br>そっけなく<br>あっけなく<br>ややこしく
海外旅行は初めてだが、経験豊富な友人と一緒なので{{c1::心強い}}。	心強い<br>浅ましい<br>快い<br>悩ましい
講演の内容は、別に珍しくもない{{c1::ありふれた}}話だった。	ありふれた<br>とろけた<br>あつらえた<br>たるんだ
離婚の話が{{c1::こじれて}}、とうとう法廷で争うことになってしまった。	こじれて<br>こだわって<br>ごまかして<br>もがいて
競争率５０倍の難関を{{c1::くぐり}}抜けて、ついに念願のＮ大学に入学した。	くぐり<br>ねだり<br>たどり<br>しくじり
いつも夜道で{{c1::くちずさむ}}歌は学生時代の思い出の歌である。	くちずさむ<br>ばらまく<br>さえずる<br>ののしる
国民のひたむきな努力が、日本経済の発展を{{c1::もたらした}}。	もたらした<br>もてなした<br>そびえさせた<br>のぞませた
出費が{{c1::かさんで}}、赤字になってしまった。	かさんで<br>さらって<br>しみて<br>こもって
なんだかこの写真は、顔が{{c1::ぼけて}}見える。	ぼけて<br>はげて<br>ばけて<br>ばてて
宝くじが当たった！夢かと思って頬を{{c1::つねったら}}、やっぱり……。	つねったら<br>むしったら<br>めくったら<br>いじったら
冷たい水が、歯に{{c1::しみて}}、思わず顔をゆがめた。	しみて<br>とぎれて<br>さわって<br>いたわって
今、彼は興奮しているから、気に{{c1::さわる}}ようなことは言わない方がいいよ。	さわる<br>もめる<br>あざわらう<br>さえる
あとちょっとのところで{{c1::しくじって}}、契約書にハンコをもらえなかった。	しくじって<br>さぼって<br>へりくだって<br>おどして
仕方がない。今回だけは、目を{{c1::つぶって}}見なかったことにしてあげよう。	つぶって<br>よけて<br>さらって<br>うつむいて
初めて友達のうちに行った時、とてもていねいな{{c1::もてなし}}を受けた。	もてなし<br>しつけ<br>いたわり<br>こだわり
ここは開かずの踏切で、朝夕は電車が{{c1::とぎれる}}ことがない。	とぎれる<br>とがめる<br>さしかかる<br>くぐる
映画の上映時間について電話で{{c1::といあわせた}}。	といあわせた<br>へりくだった<br>ききあわせた<br>みなした
都会の中心には、たいてい高層ビルが{{c1::そびえて}}いる。	そびえて<br>うつむいて<br>おどして<br>ばらまいて
記憶を頼りに、やっと１５年前の思い出の地に{{c1::たどり}}着いた。	たどり<br>もがき<br>はまり<br>ねだり
濃いコーヒーを飲んだら、頭が{{c1::さえて}}勉強がどんどん進んだ。	さえて<br>ばけて<br>おだてて<br>はげて
疑われている友人を{{c1::かばって}}、うその証言をした。	かばって<br>よけて<br>ののしって<br>ごまかして
結果よりも過程が大事、勝敗には{{c1::こだわら}}ない。	こだわら<br>はじらわ<br>とがめ<br>いたわら
するのはいつも自慢話ばかり、失敗すると他人のせいにする彼にはみんな{{c1::あきれて}}いる。	あきれて<br>とろけて<br>おどして<br>さらって
何があったのだろう、彼女は{{c1::うつむいた}}ままで、呼んでも返事をしない。	うつむいた<br>ごまかした<br>けなした<br>みなした
学生時代、授業を{{c1::さぼって}}映画を見に行ったこともあった。	さぼって<br>ごまかして<br>よけて<br>はじらって
静かな図書室。本のページを{{c1::めくる}}音だけが聞こえる。	めくる<br>もてる<br>むしる<br>もめる
彼は一週間、自分の部屋に{{c1::こもり}}きりで論文を書き上げた。	こもり<br>もがき<br>はまり<br>つまり
事件解決まであと一歩という所に{{c1::さしかかった}}時、また新たな殺人が起こった。	さしかかった<br>さしひいた<br>さしつかえた<br>さしだした
幼い頃からの家庭での礼儀作法の{{c1::しつけ}}は大事である。	しつけ<br>たるみ<br>とがめ<br>さえずり
応援していたチームが、あんなに{{c1::あっさり}}負けるなんて。	あっさり<br>さっぱり<br>すっきり<br>がっくり
お寺の参道には、土産物を売る店が{{c1::ずらっと}}並んでいる。	ずらっと<br>ちらっと<br>きちっと<br>ぐっと
実際日本で暮らしてみて、{{c1::つくづく}}日本の物価は高いと思った。	つくづく<br>いやいや<br>ずるずる<br>ぼつぼつ
今住んでいるこの辺りは、{{c1::かつて}}海の底だったと言う。	かつて<br>あえて<br>いたって<br>かねて
トイレに行って飛行機に乗り遅れたなんて、{{c1::いかにも}}彼らしいね。	いかにも<br>いかに<br>いやに<br>ことに
災害対策の品はそろえたが、{{c1::いざ}}という時、本当に訳に立つのかな。	いざ<br>さぞ<br>さも<br>いまだ
私は、{{c1::いまだ}}かつて嘘をついたことがございません。	いまだ<br>なにより<br>もはや<br>うまれつき
予想が{{c1::ずばり}}当たって、テストは満点だった。	ずばり<br>くっきり<br>すんなり<br>まるっきり
予想が{{c1::まるっきり}}外れて、テストは０点だった。	まるっきり<br>もっぱら<br>はなはだ<br>まさしく
「事故で家族が入院」と聞いて心配したが、無事だと分かり{{c1::ほっと}}した。	ほっと<br>さっと<br>ぐっと<br>ひょっと
消費者の反応は{{c1::まちまち}}で、商品についての特別な意見はなかった。	まちまち<br>ぼつぼつ<br>ちやほや<br>むちゃくちゃ
残業が長引いて夜遅くなったが、{{c1::かろうじて}}終電に間に合った。	かろうじて<br>まして<br>しいて<br>もしかして
事故で入院した母が心配で、この２日、夜も{{c1::ろくに}}寝ていない。	ろくに<br>もろに<br>まことに<br>やけに
こちらが提示した条件はどれもこれも{{c1::ことごとく}}拒否され、取引は失敗した。	ことごとく<br>かわるがわる<br>しょっちゅう<br>ひたすら
また今日も徹夜だ。{{c1::どうやら}}夜が明けてきたらしい。	どうやら<br>どうにか<br>とかく<br>いまさら
電車は予定どうり、１０時{{c1::きっかり}}に到着した。	きっかり<br>きっちり<br>がっちり<br>がっかり
反応を見るために、父は{{c1::あえて}}子供の意見に反対した。	あえて<br>いやいや<br>いたって<br>いやに
たった１枚の絵が、{{c1::なんと}}１億円もすると言う。	なんと<br>なんだか<br>なんて<br>なにとぞ
電車が揺れて倒れそうになったので、{{c1::とっさに}}窓ガラスに手をついた。	とっさに<br>ことに<br>やけに<br>もはや
結婚を申し込んだら、{{c1::きっぱり}}断れてしまった。	きっぱり<br>げっそり<br>うんざり<br>くっきり
あの２人は{{c1::しょっちゅう}}けんかしている。	しょっちゅう<br>いやに<br>てんで<br>とかく
そんなに思いどうりに{{c1::すんなり}}行くとは思えない。	すんなり<br>くっきり<br>げっそり<br>がっしり
この薬は水を入れると{{c1::さっと}}溶けて、効きめが早い。	さっと<br>ちらっと<br>ぐっと<br>ひょっと
新学期になり{{c1::ぼつぼつ}}桜も咲き始めた。	ぼつぼつ<br>いやいや<br>ずるずる<br>ぺこぺこ
日本語が{{c1::いかに}}難しいか、言葉では説明できない。	いかに<br>いやに<br>もろに<br>ことに
酒の中でも私は{{c1::とりわけ}}ワインを好む。	とりわけ<br>なにとぞ<br>ことによると<br>あんのじょう
友達が試験に合格した。ご両親も{{c1::さぞ}}うれしいことだとう。	さぞ<br>さも<br>なるたけ<br>まさしく
やった！成績が{{c1::アップ}}したぞ。	アップ<br>ダウン<br>オープン<br>オーバー
{{c1::アンケート}}の結果を分析して、グラフにして会議に提出した。	アンケート<br>データ<br>ファイル<br>カルテ
「個人」を前提として、社会という{{c1::システム}}は成り立っている。	システム<br>レギュラー<br>サイクル<br>オートマチック
ずいぶんはでな{{c1::デザイン}}の車が止まったと思ったら、彼だった。	デザイン<br>デッサン<br>メロディー<br>センス
彼は性格に問題があるのか、{{c1::トラブル}}ばかり起こしている。	トラブル<br>ストレス<br>ショック<br>ムード
彼女の家はとても{{c1::ユニーク}}で、地下が玄関になっている。	ユニーク<br>ハード<br>ベスト<br>ソフト
庭なら、せめて子どもが走り回れるぐらいの{{c1::スペース}}が欲しい。	スペース<br>フロント<br>ホール<br>コーナー
正確に情報を{{c1::キャッチ}}して、全世界に送るジャーナリストたち。	キャッチ<br>リード<br>コントロール<br>チェンジ
{{c1::ルール}}を守らない者は自由を拘束されるというのも、事実だ。	ルール<br>マーク<br>ジャンル<br>ポイント
人気歌手Ｊ。来月{{c1::ファン}}待望の新曲が発売される。	ファン<br>ブーム<br>ゲスト<br>スター
もううんざりの雨続きと仕事の{{c1::ストレス}}を解消するには、カラオケが一番。	ストレス<br>レッスン<br>ショック<br>インフレ
パソコン通信という新しい{{c1::メディア}}が開発された。	メディア<br>サイズ<br>コマーシャル<br>マスコミ
円高で日本の自動車{{c1::メーカー}}が打撃を受けている。	メーカー<br>コーナー<br>ホール<br>ラベル
この本の{{c1::タイトル}}は『日本語能力試験に出る文字・語彙』だ。	タイトル<br>コメント<br>ヒント<br>メッセージ
この文章は抽象的で{{c1::ポイント}}がつかみにくい。	ポイント<br>ピント<br>ヒント<br>ジャンル
彼女は自分の感情のまで{{c1::コントロール}}できる、とても理想的な女性だ。	コントロール<br>ボイコット<br>オープン<br>リード
友達の誕生日。プレゼントに添えて{{c1::メッセージ}}贈る。	メッセージ<br>レギュラー<br>レッスン<br>コーナー
早く、言葉の{{c1::ニュアンス}}が使い分けられるようになりたい。	ニュアンス<br>ショック<br>サイクル<br>ブーム
駅の近くにまた新しいホテルが{{c1::オープン}}した。	オープン<br>オーバー<br>リード<br>チェンジ
貴重品をホテルの{{c1::フロント}}にあずける。	フロント<br>ホール<br>バック<br>コーナー
どんな{{c1::ジャンル}}の本が好きですか？	ジャンル<br>サイクル<br>センス<br>ファイル
事故で息子を亡くし、{{c1::ショック}}のあまり母親は倒れてしまった。	ショック<br>インフレ<br>ムード<br>ボイコット
結果よりも過程が大事。何事にも{{c1::ベスト}}をつくす。	ベスト<br>ゲスト<br>ソフト<br>ブーム
不況が続き、賃金を{{c1::カット}}した会社もあるという。	カット<br>ボイコット<br>リード<br>オーバー
気持ちを穏やかにしてくれるこの曲の{{c1::メロディー}}が好きだ。	メロディー<br>レッスン<br>デッサン<br>データ
次から次に仕事が入ってきて、電話も一度に何本もかかってくるし、もう忙しくて{{c1::め}}が回りそうだ。	め<br>あし<br>て<br>みみ
不況が続き、経営不振という理由で、会社を{{c1::くび}}になった人もいるそうだ。	くび<br>はな<br>あし<br>かお
建築工事の業者が{{c1::て}}を抜いたせいか、このビルはあちこちで雨漏りがする。	て<br>あし<br>こし<br>かた
わたしのうちは学校から{{c1::めとはな}}の先のところにあります。	めとはな<br>てとあし<br>めとくち<br>めとみみ
毎日、一生懸命勉強したおかげで、成績優秀な彼女と{{c1::かた}}を並べるまでになった。	かた<br>あたま<br>こし<br>あし
勉強もしないで試験に合格しようなんて、{{c1::むし}}がいい話だ。	むし<br>うま<br>ねこ<br>あじ
相手の気持ちも考えて、なるべく{{c1::かど}}が立たないように、言葉には十分気をつける。	かど<br>かお<br>うで<br>ゆび
試験の当日にかぜで熱が出てしまって、せっかくの努力が{{c1::水の泡}}となってしまった。	水の泡<br>猫の額<br>スズメの涙<br>上の空
授業中は一生懸命、先生の話に{{c1::みみ}}をかたむける。	みみ<br>くび<br>かお<br>はな
山田さんのご主人は、ほんとうにていねいで、だれに対しても{{c1::こし}}が低い。	こし<br>かた<br>あし<br>はな
一人でやりますと言ってしまったので、今更、{{c1::きまりわるくて}}助けてほしいとは言えない。	きまりわるくて<br>せつなくて<br>けむたくて<br>ばかばかしくて
祭の日には色とりどりの{{c1::きらびやかな}}民族衣装を身につけた女達が大勢集まった。	きらびやかな<br>きよらかな<br>だらしない<br>みすぼらしい
映画スターには{{c1::強烈な}}個性を持っている人が多い。	強烈な<br>勤勉な<br>簡素な<br>温和な
救援隊がくるまで、１枚のチョコレートと雨水で{{c1::かろうじて}}生きのびることができた。	かろうじて<br>しいて<br>あえて<br>つとめて
オフィスに{{c1::ちょくちょく}}顔を出していれば、仲良くなって契約がとれるかも知れないよ。	ちょくちょく<br>ぶらぶた<br>ちゃくちゃく<br>ぺこぺこ
ちょっと{{c1::ヒント}}をもらうと問題がすんなりとけることがあります。	ヒント<br>ベスト<br>ゲスト<br>パート
{{c1::気}}が早いですね。もう来週の旅行の準備をしてしまったんですか。	気<br>足<br>耳<br>手
いくらけんかをしても、人間関係を{{c1::そこなって}}しまうようなことを言ってはいけない。	そこなって<br>うるおって<br>つくろって<br>やしなって
小さな会社をはじめたが、経費が{{c1::かさむ}}ばかりでなかなか経営が軌道に乗らない。	かさむ<br>からむ<br>いどむ<br>たるむ
スピード違反の{{c1::取り締まり}}月間だそうで、この間から2度も捕まってしまった。	取り締まり<br>取り調べ<br>取り扱い<br>取り組み
部長は結婚の仲人を快く{{c1::承諾}}してくれた。	承諾<br>了解<br>了承<br>承認
来月末までに新しいビルへの{{c1::移転}}ができます。	移転<br>異動<br>移住<br>異郷
私の理論を{{c1::実現}}に写すための方針は既に考えてあります。	実現<br>実質<br>実施<br>実行
彼は多額の財産を相続することを{{c1::放棄}}したそうだ。	放棄<br>廃棄<br>廃棄<br>廃止
彼は自分の研究論文が認められないので学会を{{c1::脱退}}してしまった。	脱退<br>脱線<br>後退<br>辞退
新しい機械の説明を聞いたが、何度聞いても{{c1::ややこしくて}}よくわからない。	ややこしくて<br>たやすくて<br>なやましくて<br>ものたりなくて
彼は会議ではいつも{{c1::活発に}}発言するが、実行が伴わないからあまり信頼されていない。	活発に<br>頑固に<br>盛大に<br>壮大に
王女の結婚式が長い歴史のある教会で{{c1::おごそかに}}行われた。	おごそかに<br>すこやかに<br>しとやかに<br>おろそかに
その洋服は少し大きすぎないか。なんだか{{c1::だぶだぶ}}した感じがするよ。	だぶだぶ<br>ずるずる<br>ふらふら<br>ながなが
人前に出ると{{c1::おどおど}}してしまうから、営業の仕事なんてとうてい無理だよ。	おどおど<br>どうどう<br>いやいや<br>まちまち
宇宙ロケットで飛び立った飛行士から地球への{{c1::メッセージ}}が送られてきました。	メッセージ<br>コマーシャル<br>コメント<br>モニター
盗んですぐ中古品店に持ち込んだ機械の製造番号から{{c1::足}}がついたらしいですよ。	足<br>鼻<br>目<br>気
異常な悪臭がしたので、鼻を{{c1::つまんで}}逃げた。	つまんで<br>つんで<br>つねって<br>つまって
他人の幸せや昇進を{{c1::ねたむ}}のは見苦しい。	ねたむ<br>はげむ<br>にじむ<br>うながす
一度口に出して言ってしまったことを、いまさら{{c1::取り消そう}}と思っても無理だよ。	取り消そう<br>取り除こう<br>取り戻そう<br>取り替えよう
反対が多いのに、政府はその議案を{{c1::強行}}採決した。	強行<br>無断<br>強硬<br>強制
引っ越し荷物が次から次に{{c1::手際}}良くトラックに載せられていく。	手際<br>手口<br>手分け<br>手配
会社経営の{{c1::実態}}が明らかになるにつれ、負債総額が１０億円以上になることがわかった。	実態<br>態勢<br>事態<br>情勢
洪水で不通になった道路の{{c1::復旧}}作業がなかなかはかどらない模様です。	復旧<br>復活<br>回復<br>復興
彼は{{c1::独創的}}な作品を次々発表して批評家の注目をひいた。	独創的<br>独占的<br>独裁的<br>独自的
梅雨になると曇りや雨の日が多く、{{c1::うっとうしい}}日が続く。	うっとうしい<br>けがらわしい<br>ややこしい<br>わずらわしい
この家は骨組みが{{c1::頑丈}}だから孫の代まで大丈夫だろう。	頑丈<br>強硬<br>巧妙<br>厳密
歌手にしても舞台俳優にしても、きょうの公演は{{c1::完ぺき}}だったと思う日はないそうだ。	完ぺき<br>賢明<br>精巧<br>高尚
彼の自慢話を何度も聞かされて、全く{{c1::うんざり}}だよ。	うんざり<br>げっそり<br>なにより<br>おおげさ
あんなに一生懸命勉強したのに受験に失敗して{{c1::がっくり}}してたよ。	がっくり<br>がっちり<br>がっしり<br>びっしょり
毎日の{{c1::ストレス}}の積み重ねがノイローゼの原因になります。	ストレス<br>ストライキ<br>ボイコット<br>インフレ
甘いものに{{c1::目}}がなくて、つい食べてしまうんですよ。	目<br>足<br>手<br>口
もう{{c1::もがいて}}も仕方がない。やるだけやってあきらめよう。	もがいて<br>すすいで<br>ゆらいで<br>といで
晴れた日に干したふとんをパンパンと{{c1::はたく}}気持ちがいい。	はたく<br>つつく<br>はじく<br>はたす
この机はわざわざ注文してイタリアから{{c1::取り寄せて}}もらったものだ。	取り寄せて<br>取り次いで<br>取り立てて<br>取り付けて
会社の備品を買いたいときは、あらかじめ{{c1::申請}}してください。	申請<br>要請<br>申告<br>要求
会社を成長させるために、古い組織の{{c1::革新}}と管理職の若返りが求められている。	革新<br>変形<br>確信<br>革命
宗教の違う民族との{{c1::共存}}は受け入れられないと主張して戦争を続けている。	共存<br>共同<br>共有<br>共和
履歴書に書かれたこれまでの{{c1::経歴}}が素晴らしいので即座に採用が決まった。	経歴<br>経緯<br>過程<br>経過
国際婦人会議に出席して婦人解放運動に対する{{c1::認識}}を新たにした。	認識<br>意識<br>常識<br>標識
開放政策により中国の経済は{{c1::めざましい}}発展を遂げつつある。	めざましい<br>おびただしい<br>ふさわしい<br>なだかい
私の妻は{{c1::きちょうめん}}だから、毎日、家計簿と日記をつけている。	きちょうめん<br>慎重<br>頑固<br>おくびょう
このソファーに４人座ると、ちょっと{{c1::窮屈}}じゃないかな。	窮屈<br>憂うつ<br>きゃしゃ<br>こっけい
あやふやな言い方をするより、{{c1::きっぱり}}断ったほうがずっと親切だよ。	きっぱり<br>くっきり<br>まるっきり<br>てっきり
あの人は{{c1::あっさり}}した人だから、きちっと誤れば、いつまでも怒ったりしないんだよ。	あっさり<br>こうこうと<br>すんなり<br>まるまる
私たちは{{c1::メディア}}通して世界中の情報を手に入れることができるようになりました。	メディア<br>ビジネス<br>テレックス<br>コメント
旅行でお金を使い過ぎて{{c1::足}}が出てしまった。	足<br>手<br>目<br>顎
国連の重い任務を{{c1::になって}}、戦争をしている国に赴いた。	になって<br>そむいて<br>かばって<br>うながして
子供をそんなに{{c1::せかす}}と危ないですよ、ゆっくり行きましょう。	せかす<br>おかす<br>かわす<br>あかす
人気スターの車が到着すると、どっとファンが{{c1::押し寄せて}}負傷者が出てしまった。	押し寄せて<br>押し込んで<br>押し出して<br>押し入れて
地域を{{c1::開発}}するために必要な多額の資金は税金だけではまかなえない。	開発<br>開拓<br>開放<br>打開
大統領暗殺のニュースが流れると、国民の間に大きな{{c1::衝撃}}が走った。	衝撃<br>攻撃<br>打撃<br>衝突
味方の失敗で、試合はにわかに{{c1::形勢}}不利に陥ってしまった。	形勢<br>形成<br>形態<br>体制
{{c1::発想}}を転換すれば、もう少しおもしろい企画が出せるはずだよ。	発想<br>空想<br>思想<br>愛想
海外に駐在している彼の一時帰国する日が{{c1::まちどうしい}}。	まちどうしい<br>このましい<br>のぞましい<br>せつない
携帯電話の料金は高いから{{c1::緊急の}}用件があるときだけかけるようにしている。	緊急の<br>早急の<br>特急の<br>応急の
先日、見合いをした相手から{{c1::婉曲に}}断りの電話があった。	婉曲に<br>円満に<br>円滑に<br>遠慮に
すがすがしい感じの青年が{{c1::さっと}}立って老人に席をゆずった。	さっと<br>ひょっと<br>ぐっと<br>ずらっと
{{c1::かねて}}より問題になっておりましたゴミ処理場建設地について話し合いたいと思います。	かねて<br>かつて<br>いたって<br>はるか
今日の午後は集会がありますから、次の{{c1::チャイム}}が鳴ったら講堂に集まってください。	チャイム<br>チェンジ<br>キャッチ<br>チャンネル
あの人は{{c1::目}}がきくから、いっしょに買いに行っていただいたらどうですか。	目<br>手<br>頭<br>口
部下を{{c1::けなす}}よりおだてた方が仕事がうまくいきますよ。	けなす<br>まかす<br>けとばす<br>ごまかす
秋は夜が長くなるので、読書に{{c1::したしむ}}季節だと言われています。	したしむ<br>したう<br>つつしむ<br>いとなむ
私たちには古くから伝わる伝統芸能を{{c1::受け継いで}}いく義務がある。	受け継いで<br>受け付けて<br>受け止めて<br>受け入れて
全く彼の疲れを知らないエネルギーには{{c1::圧倒}}されてしまうよ。	圧倒<br>圧縮<br>圧迫<br>抑圧
根気よく障害を{{c1::排除}}する努力を重ねて、協定を結ぶことができました。	排除<br>削除<br>解除<br>除外
家が狭いので古いものはどんどん{{c1::処分}}しないと大変なことになる。	処分<br>処置<br>処罰<br>処理
私のかわりに彼にこの件の最終的な決定をする{{c1::権限}}を与えてあります。	権限<br>権威<br>権利<br>権力
新しいコンピューターを導入したので仕事の{{c1::能率}}ぐんをアップした。	能率<br>比率<br>引率<br>確率
昔、このあたりに{{c1::なさけぶかい}}金持ちがいて、貧しい人達に食べ物を配っていたそうだ。	なさけぶかい<br>なさけない<br>よくふかい<br>こころよい
集団で動くときには、人に迷惑をかけるような{{c1::軽率な}}行動をしてはならない。	軽率な<br>軽快な<br>気軽な<br>手軽な
{{c1::いいかげんな}}話ばかりするので、もう誰も耳を貸そうとしない。	いいかげんな<br>うつろな<br>ろくな<br>ぞんざいな
避難訓練を行いますから非常ベルが鳴ったら{{c1::すみやかに}}外へ出てください。	すみやかに<br>とっさに<br>突如<br>適宜
{{c1::依然}}として、銀行強盗のグループは車で逃走中の模様です。	依然<br>呆然<br>漠然<br>断念
社員研修の{{c1::ムード}}が良かったので明日からが楽しみだ。	ムード<br>フォーム<br>ポーズ<br>ブーム
あの若い社員に社長はずいぶん{{c1::肩}}を入れているらしいよ。	肩<br>目<br>耳<br>手
敵を{{c1::あざむく}}ためには、まず味方をだませと言う言葉があります。	あざむく<br>うつむく<br>おもむく<br>つらぬく
急速なコンピューターの普及は電子部品会社に大きな利益を{{c1::もたらした}}た。	もたらした<br>もてなした<br>もよおした<br>みなした
視聴率が低下したので1年続いたテレビ番組を{{c1::打ち切った}}。	打ち切った<br>打ち明けた<br>打ち消した<br>打ち込んだ
この文章は作者が何を言いたいのか、{{c1::意図}}していることがはっきりしない。	意図<br>意向<br>意欲<br>意識
このたび施行された新制度の{{c1::概略}}を説明させていただきます。	概略<br>概説<br>概論<br>概念
わが社も東南アジアへの{{c1::進出}}を計画している。	進出<br>進呈<br>進展<br>進行
カルシウムが{{c1::欠乏}}すると頭の働きが悪くなるそうです。	欠乏<br>窮乏<br>不十分<br>貧弱
部族によっては信じられないような奇妙な{{c1::風習}}を受け継いでいる。	風習<br>風俗<br>風土<br>風景
イタリアで音楽の勉強をするという計画は父の突然の死により{{c1::はかない}}夢となってしまった。	はかない<br>もろい<br>けむたい<br>たやすい
自らが選んだのなら、誰にも会わない{{c1::孤独な}}生活が必ずしも不幸とは言えない。	孤独な<br>固有な<br>個別な<br>独自な
旅行先で出会った幼い子供の{{c1::つぶらな}}目が忘れられない。	つぶらな<br>あざやかな<br>なごやかな<br>こまやかな
彼は何をきいても{{c1::即座に}}答えてくれる天才的な頭脳の持ち主だ。	即座に<br>不意に<br>ひょっと<br>ちらっと
私が{{c1::いかに}}がんばっても、彼にはとうてい追い付けない。	いかに<br>むやみに<br>いやに<br>やけに
新しい原子力発電所の原子炉は{{c1::トラブル}}が多くてなかなか役に立たない。	トラブル<br>ファイト<br>サイクル<br>アクセル
あの人は{{c1::舌}}が肥えているから、どんなもてなしをしたらいいか悩むよ。	舌<br>体<br>耳<br>目
近年の不況と円高は、輸出関連企業の経営を{{c1::おびやかして}}いる。	おびやかして<br>おだてて<br>おどして<br>ひやかして
彼は悲しみの中で、なくなった母に{{c1::ささげる}}歌を作曲した。	ささげる<br>さえずる<br>さえぎる<br>さずける
学校からの帰宅途中、駅前の本屋に{{c1::立ち寄る}}のが何よりの楽しみでした。	立ち寄る<br>立ち止まる<br>立ち上がる<br>立ち去る
航空会社の社員募集があったのですぐに{{c1::応募}}した。	応募<br>応接<br>応対<br>会見
あなたの主張は時代{{c1::錯誤}}もはなはだしいと思います。	錯誤<br>格差<br>誤差<br>差別
平和的解決の{{c1::使命}}を帯びて、大使は現地に赴いた。	使命<br>任命<br>宿命<br>運命
戦後５０年たって、当時の秘密資料が続々{{c1::公表}}されはじめました。	公表<br>公開<br>公認<br>公然
営業{{c1::妨害}}になるので入り口に車を止めないでください。	妨害<br>迫害<br>被害<br>災害
建設現場で働いているから性格は{{c1::あらっぽい}}けれど、とても優しい父です。	あらっぽい<br>あくどい<br>すばしこい<br>すばやい
契約の{{c1::詳細な}}内容については後日担当者がご説明にまいりますのでよろしくお願いします。	詳細な<br>相応な<br>正当な<br>精密な
社内で誰も知らないと思うけれど、あの人{{c1::ひそかに}}株でもうけているらしいわよ。	ひそかに<br>おおげさに<br>こまやかに<br>おおはばに
学校の成績が悪いからといって、{{c1::一概に}}将来の見通しが暗いとは言えない。	一概に<br>てんで<br>ろくに<br>もろに
まだもう少し入院が必要らしいが、手術後の経過は{{c1::さほど}}悪くないらしいよ。	さほど<br>よほど<br>若干<br>少々
指揮者がうまく{{c1::リード}}してくださるので合唱団の実力以上の公演ができた。	リード<br>ソフト<br>ハード<br>ベース
あの人は取引先が倒産したせいで{{c1::首}}が回らなくなっているらしいよ。	首<br>頭<br>手<br>目
{{c1::ありふれた}}お世辞をいくら言ってもだめなものはだめです。	ありふれた<br>あやまった<br>あつらえた<br>あらたまった
最近、競馬を楽しむ女性が多くなったが、どの馬が１位になるか{{c1::あてる}}のは難しい。	あてる<br>あせる<br>はえる<br>さえる
忘れ物をしたので{{c1::引き返そう}}として踏切事故にあったようです。	引き返そう<br>引き止めよう<br>引き起こそう<br>引き取ろう
前回出版したときの内容に少し手を加えて、{{c1::改訂}}版として出版しようと思います。	改訂<br>改善<br>改良<br>改正
クイズ番組に出演して賞金１０万円を{{c1::獲得}}した。	獲得<br>捕虜<br>確保<br>収穫
{{c1::言論}}の自由が保障されているからと言って、何でも報道していいわけではない。	言論<br>世論<br>弁論<br>理論
我が社も海外進出をすることになり、英会話能力の必要性を{{c1::痛感}}している。	痛感<br>直感<br>反感<br>共感
被害にあった地域に物資を{{c1::補給}}する経路があちこち普通になっている。	補給<br>補足<br>補償<br>補充
冬に、{{c1::ぬるい}}スープなんてとても飲めない。	ぬるい<br>みにくい<br>あくどい<br>きまりわるい
病気で１か月入院すると、健康のありがたさを{{c1::痛切に}}感じるようになった。	痛切に<br>手近に<br>陰気に<br>安易に
最近、放火が多いので{{c1::不審な}}人物を見かけたら警察に連絡してください。	不審な<br>不振な<br>不明な<br>不良な
忙しくて料理ができないから、最近は{{c1::もっぱら}}外食ですませている。	もっぱら<br>もろに<br>ことごとく<br>まるごと
まだ全員集まっていないようですが、{{c1::とりあえず}}きょうの日程の説明を始めたいと思います。	とりあえず<br>もしかして<br>ことによると<br>おのずから
{{c1::インテリ}}風な感じの男性だったのでつい信用してだまされてしまった。	インテリ<br>エレガント<br>ナンセンス<br>シック
子供がいうことをきかないので{{c1::手}}を焼いています。	手<br>胸<br>胃<br>顔
彼はスタイルのも顔もいいし、その上仕事ができるんだから{{c1::もてて}}当然だよね。	もてて<br>もうけて<br>もれて<br>もめて
若い人を育てようと思ったら、失敗をひとつひとつ{{c1::とがめて}}はいけない。	とがめて<br>のがれて<br>となえて<br>なだめて
体の調子が悪いので、今回のマラソン大会に参加するのは{{c1::見合わせよう}}と思います。	見合わせよう<br>見落とそう<br>見渡そう<br>見逃そう
あのあたりは交通量が多いので、今、{{c1::拡張}}工事のために交通規制をしているよ。	拡張<br>拡散<br>拡充<br>拡大
国自体が財政的{{c1::危機}}に直面している。	危機<br>危険<br>危害<br>禁物
今、国会で予算案を{{c1::審議}}しているところです。	審議<br>論議<br>討議<br>協議
あとで後悔しないように、職業の{{c1::選択}}は慎重にしたほうがいいよ。	選択<br>採決<br>選考<br>採択
姉は、外出するとき{{c1::介護}}が必要な障害者を助ける奉仕活動をしている。	介護<br>看護<br>保護<br>養護
おもしろくなさようなところを見ると、この仕事は彼には{{c1::ものたりない}}のかも知れない。	ものたりない<br>おっかない<br>いやらしい<br>みぐるしい
{{c1::善良な}}市民の一人ですと言いながら、裏で業者から多額の現金を受け取る議員を許せない。	善良な<br>清純な<br>賢明な<br>明瞭な
北海道の開拓をさせられた人達は、寒さの中で食べ物もなく、{{c1::悲惨な}}生活を強いられた。	悲惨な<br>冷酷な<br>貧弱な<br>冷淡な
こんなに客が少なくなってしまっては、{{c1::いっそ}}商売をやめたほうがましだ。	いっそ<br>ずばり<br>きちっと<br>ちゃんと
